,text,intent,slots,pattern_id
2072,جاکش,offensive_general,o,3002072
2075,آشغال,offensive_general,o,3002075
2081,عوضی,offensive_general,o,3002081
2088,کیرم توت,offensive_general,o o,3002088
2091,حرومزاده,offensive_general,o,3002091
2092,جنده,offensive_general,o,3002092
2099,برو گم شو,offensive_general,o o o,3002099
2104,دزد,offensive_general,o,3002104
2105,احمق,offensive_general,o,3002105
2109,بی ناموس,offensive_general,o o,3002109
2113,مزدور,offensive_general,o,3002113
2114,حرومزاده,offensive_general,o,3002114
2115,روانی,offensive_general,o,3002115
2118,جاکش,offensive_general,o,3002118
2120,کفتار,offensive_general,o,3002120
2122,بیسواد,offensive_general,o,3002122
2123,هیچ گوهی نمی تونی بخوری,offensive_general,o o o o o,3002123
2128,بیشعور,offensive_general,o,3002128
2144,نفهم,offensive_general,o,3002144
2145,دیوث,offensive_general,o,3002145
2150,بچه کونی,offensive_general,o o,3002150
2152,بی ناموس,offensive_general,o o,3002152
2167,نمک نشناس,offensive_general,o o,3002167
2170,خایه مال,offensive_general,o o,3002170
2173,غلط کردی,offensive_general,o o,3002173
2176,لاشخور,offensive_general,o,3002176
2177,بیسواد,offensive_general,o,3002177
2181,کثیف,offensive_general,o,3002181
2183,متقلب,offensive_general,o,3002183
2184,کثافت,offensive_general,o,3002184
2195,زر نزن,offensive_general,o o,3002195
2200,کوسکش,offensive_general,o,3002200
2202,نادان,offensive_general,o,3002202
2203,نفهم,offensive_general,o,3002203
2210,گوزو,offensive_general,o,3002210
2211,چسو,offensive_general,o,3002211
2212,کونت سوخت,offensive_general,o o,3002212
2222,اسکل,offensive_general,o,3002222
2226,به فاک رفتی,offensive_general,o o o,3002226
2230,غلط کردی,offensive_general,o o,3002230
2232,الدنگ,offensive_general,o,3002232
2234,کونی,offensive_general,o,3002234
2235,کون گشاد,offensive_general,o o,3002235
2238,کس ننت,offensive_general,o o,3002238
2239,مفت خور,offensive_general,o o,3002239
2244,خفه شو,offensive_general,o o,3002244
2245,ب کیرم,offensive_general,o o,3002245
2255,لاس زن,offensive_general,o o,3002255
2264,فاسد,offensive_general,o,3002264
2275,عوضی,offensive_general,o,3002275
2276,شاشیدم بهت,offensive_general,o o,3002276
2290,زالو,offensive_general,o,3002290
2302,نامرد,offensive_general,o,3002302
2337,نجس,offensive_general,o,3002337
2339,ملعون,offensive_general,o,3002339
2342,بیشرف,offensive_general,o,3002342
2343,ابله,offensive_general,o,3002343
2350,خایه مال,offensive_general,o o,3002350
2352,جاکش,offensive_general,o,3002352
2362,برو گمشو,offensive_general,o o,3002362
2370,برو دنبال هويت خودت ببين حلال زاده اي يا حرام زاده بيشتر بهت مياد حروم لقمه باشي کثافت,offensive_general,o o o o o o o o o o o o o o o o o o,3002370
2379,بی دست و پا,offensive_general,o o o o,3002379
2381,آشغال,offensive_general,o,3002381
2395,ابله,offensive_general,o,3002395
2398,بچه کونی,offensive_general,o o,3002398
2401,فاک یو,offensive_general,o o,3002401
2419,کون میدی,offensive_general,o o,3002419
2424,پدرسگ,offensive_general,o,3002424
2426,الاغ,offensive_general,o,3002426
2432,پست,offensive_general,o,3002432
2434,عقب مونده,offensive_general,o o,3002434
2435,مزدور,offensive_general,o,3002435
2439,وحشی,offensive_general,o,3002439
2459,هرزه,offensive_general,o,3002459
2461,کون لقت,offensive_general,o o,3002461
2466,شیاد,offensive_general,o,3002466
2475,برو کيرم تو کس زنت,offensive_general,o o o o o,3002475
2483,ولدزنا,offensive_general,o,3002483
2491,مادر به خطا,offensive_general,o o o,3002491
2500,خایه نداری,offensive_general,o o,3002500
2511,خارجنده,offensive_general,o,3002511
2512,خوارتو گاییدم,offensive_general,o o,3002512
2513,لعنت بر پدر و مادرت,offensive_general,o o o o o,3002513
2518,تخمی,offensive_general,o,3002518
2521,مادرجنده,offensive_general,o,3002521
2522,ابله,offensive_general,o,3002522
2526,کیری,offensive_general,o,3002526
2535,خفه,offensive_general,o,3002535
2536,پخمه,offensive_general,o,3002536
2541,چرت نگو,offensive_general,o o,3002541
2546,کیری,offensive_general,o,3002546
2548,تخم سگ,offensive_general,o o,3002548
2557,بی غیرت,offensive_general,o o,3002557
2569,پشمام,offensive_general,o,3002569
2575,توبه گورپدرحرومزادت خنديدي.,offensive_general,o o o,3002575
2583,بگا میری,offensive_general,o o,3002583
2584,خایمال,offensive_general,o,3002584
2587,کیرم توت,offensive_general,o o,3002587
2595,بی ناموس,offensive_general,o o,3002595
2598,اره جون عمت,offensive_general,o o o,3002598
2608,احمق,offensive_general,o,3002608
2615,ریدم تو دهنت,offensive_general,o o o,3002615
2624,کیر شدی,offensive_general,o o,3002624
2626,بمیر,offensive_general,o,3002626
2635,بیشعور,offensive_general,o,3002635
2636,پفیوز,offensive_general,o,3002636
2638,خدا لعنتت کنه,offensive_general,o o o,3002638
2639,جاکش,offensive_general,o,3002639
2640,کسکش,offensive_general,o,3002640
2642,کونت بسوزه,offensive_general,o o,3002642
2643,کونت میزارم,offensive_general,o o,3002643
2646,چلغوز,offensive_general,o,3002646
2655,گاییدمت,offensive_general,o,3002655
2657,شیاد,offensive_general,o,3002657
2661,وحشی,offensive_general,o,3002661
2667,برو بمیر,offensive_general,o o,3002667
2671,چقد کیری هستی,offensive_general,o o o,3002671
2673,تخم سگ,offensive_general,o o,3002673
2674,چندش,offensive_general,o,3002674
2678,فاک,offensive_general,o,3002678
2679,کونت گهیه,offensive_general,o o,3002679
2683,مادر جنده,offensive_general,o o,3002683
2686,فتنه گر,offensive_general,o o,3002686
2687,کی روتو کم میکنی,offensive_general,o o o o,3002687
2690,مفت خور,offensive_general,o o,3002690
2694,خاک بر سرت,offensive_general,o o o,3002694
2698,خایه مال,offensive_general,o o,3002698
2706,جاکش,offensive_general,o,3002706
2712,بیسواد,offensive_general,o,3002712
2714,تخم حروم,offensive_general,o o,3002714
2717,شیاد,offensive_general,o,3002717
2725,ریدم بهت,offensive_general,o o,3002725
2783,خفه شو,offensive_general,o o,3002783
2802,پفیوز,offensive_general,o,3002802
2804,فاک یو,offensive_general,o o,3002804
2805,جاکش,offensive_general,o,3002805
2807,کیری,offensive_general,o,3002807
2823,پدر سگ,offensive_general,o o,3002823
2824,ابله,offensive_general,o,3002824
2837,بمیر,offensive_general,o,3002837
2838,حرامزاده,offensive_general,o,3002838
2844,گوه,offensive_general,o,3002844
2845,ریدی,offensive_general,o,3002845
2851,کیر شدی,offensive_general,o o,3002851
2872,گوه نخور,offensive_general,o o,3002872
2874,خاک تو سرت,offensive_general,o o o,3002874
2889,به کیرم,offensive_general,o o,3002889
2890,کصمشنگ,offensive_general,o,3002890
2894,دلقک,offensive_general,o,3002894
2902,گم شو,offensive_general,o o,3002902
2910,خر خودتی,offensive_general,o o,3002910
2940,زارت,offensive_general,o,3002940
2948,فاک یو,offensive_general,o o,3002948
2949,وحشی,offensive_general,o,3002949
2951,پدر سوخته,offensive_general,o o,3002951
2959,انگل,offensive_general,o,3002959
2968,بچه باز,offensive_general,o o,3002968
2970,ببند دهنتو,offensive_general,o o,3002970
2975,برو کير تو کونت,offensive_general,o o o o,3002975
2977,قرمساق,offensive_general,o,3002977
2979,توهم زدی,offensive_general,o o,3002979
2983,خارکسه,offensive_general,o,3002983
2991,عن خاصی هستی,offensive_general,o o o,3002991
2995,به جهنم,offensive_general,o o,3002995
3001,احمق,offensive_general,o,3003001
3005,خاک تو سرت برینن,offensive_general,o o o o,3003005
3023,بيضهام تو حلقومت,offensive_general,o o o,3003023
3029,پاچه خوار,offensive_general,o o,3003029
3030,انگل,offensive_general,o,3003030
3034,چاقال,offensive_general,o,3003034
3038,بیشرف,offensive_general,o,3003038
3046,خفه,offensive_general,o,3003046
3048,کفتار,offensive_general,o,3003048
3050,تهی مغز,offensive_general,o o,3003050
3052,احمق,offensive_general,o,3003052
3059,کون لقت,offensive_general,o o,3003059
3066,دهنتو ببند,offensive_general,o o,3003066
3082,گوه توت,offensive_general,o o,3003082
3090,تر زدی,offensive_general,o o,3003090
3092,تخم نداری,offensive_general,o o,3003092
3102,حرومزاده,offensive_general,o,3003102
3107,کیرم توت,offensive_general,o o,3003107
3125,کیرم تو کونت,offensive_general,o o o,3003125
3126,کیر توت,offensive_general,o o,3003126
3152,کیر,offensive_general,o,3003152
3154,ملعون,offensive_general,o,3003154
3162,۴۰ پدر,offensive_general,o o,3003162
3165,به جهنم,offensive_general,o o,3003165
3167,دارالخلا,offensive_general,o,3003167
3174,اسکول,offensive_general,o,3003174
3178,بگم به کیرم ناراحت میشی؟,offensive_general,o o o o o,3003178
3182,خاک بر سرت,offensive_general,o o o,3003182
3203,نگاییدمت,offensive_general,o,3003203
3206,کیری,offensive_general,o,3003206
3214,مزخرف,offensive_general,o,3003214
3222,بمیر,offensive_general,o,3003222
3224,بیشرف,offensive_general,o,3003224
3231,لعنت بهت,offensive_general,o o,3003231
3235,بگا رفتی,offensive_general,o o,3003235
3237,شلغم,offensive_general,o,3003237
3255,فاک یو,offensive_general,o o,3003255
3261,مادرجنده,offensive_general,o,3003261
3276,پفیوز,offensive_general,o,3003276
3285,دیوانه,offensive_general,o,3003285
3289,کیرم تو مغز نداشتت,offensive_general,o o o o,3003289
3307,کون لقت,offensive_general,o o,3003307
3313,آشغال,offensive_general,o,3003313
3322,جلف.سبک.دنبه,offensive_general,o,3003322
3323,بري ب جهنم بيشرف,offensive_general,o o o o,3003323
3324,اسکول,offensive_general,o,3003324
3327,اشغال,offensive_general,o,3003327
3344,گاگول,offensive_general,o,3003344
3350,انتر,offensive_general,o,3003350
3354,تخمی,offensive_general,o,3003354
3356,چس,offensive_general,o,3003356
3357,ریدی,offensive_general,o,3003357
3372,زن جنده,offensive_general,o o,3003372
3381,مریضی,offensive_general,o,3003381
3390,جاکش,offensive_general,o,3003390
3392,کون پاره,offensive_general,o o,3003392
3397,کسخل,offensive_general,o,3003397
3421,ریدم,offensive_general,o,3003421
3427,احمق,offensive_general,o,3003427
3430,به تخم چپم,offensive_general,o o o,3003430
3434,ابله,offensive_general,o,3003434
3442,حالم ازت بهم میخوره,offensive_general,o o o o,3003442
3445,خاک تو سرت,offensive_general,o o o,3003445
3446,کوفت,offensive_general,o,3003446
3451,کثافت,offensive_general,o,3003451
3454,زن جنده,offensive_general,o o,3003454
3459,جنده شدی,offensive_general,o o,3003459
3465,خفه شو بابا,offensive_general,o o o,3003465
3471,بیناموس,offensive_general,o,3003471
3474,وات د فاک,offensive_general,o o o,3003474
3483,خداشما روشفا بده,offensive_general,o o o,3003483
3487,فاک,offensive_general,o,3003487
3488,احمق,offensive_general,o,3003488
3489,کفتار,offensive_general,o,3003489
3504,مشنگ,offensive_general,o,3003504
3516,احمق,offensive_general,o,3003516
3542,ازگل,offensive_general,o,3003542
3550,پدر سوخته,offensive_general,o o,3003550
3552,زر مفت نزن,offensive_general,o o o,3003552
3554,خر خودتی,offensive_general,o o,3003554
3556,بی گناه وحشی,offensive_general,o o o,3003556
3568,عن,offensive_general,o,3003568
3572,داری میمیری,offensive_general,o o,3003572
3578,ارواح ننت,offensive_general,o o,3003578
3589,بگا رفتی,offensive_general,o o,3003589
3596,اسکل,offensive_general,o,3003596
3603,کیری ,offensive_general,o,3003603
3607,لعنت بهت,offensive_general,o o,3003607
3608,کصکش,offensive_general,o,3003608
3612,ابله,offensive_general,o,3003612
3613,کون نشور,offensive_general,o o,3003613
3617,کچل,offensive_general,o,3003617
3618,خایمال,offensive_general,o,3003618
3623,گاگول,offensive_general,o,3003623
3627,اسکل,offensive_general,o,3003627
3628,ریدم دهنت,offensive_general,o o,3003628
3633,غلط کردی,offensive_general,o o,3003633
3635,الاغ احمق,offensive_general,o o,3003635
3638,عنتر,offensive_general,o,3003638
3639,خاک بر سرت,offensive_general,o o o,3003639
3640,احمق,offensive_general,o,3003640
3643,خارتو گاییدم,offensive_general,o o,3003643
3646,لاشی,offensive_general,o,3003646
3658,گه نخور,offensive_general,o o,3003658
3659,حیف نون,offensive_general,o o,3003659
3661,حرامزاده,offensive_general,o,3003661
3671,سیکتیر,offensive_general,o,3003671
3687,به کیرت,offensive_general,o o,3003687
3695,بی لیاقت,offensive_general,o o,3003695
3697,نگاییدم,offensive_general,o,3003697
3701,کیرم دهنت,offensive_general,o o,3003701
3704,خاک تو سرت,offensive_general,o o o,3003704
3705,چقدر بد بختی,offensive_general,o o o,3003705
3713,جقی,offensive_general,o,3003713
3715,بیسواد,offensive_general,o,3003715
3721,کیر,offensive_general,o,3003721
3730,کونی‌ای,offensive_general,o,3003730
3746,بیسواد,offensive_general,o,3003746
3751,چندش,offensive_general,o,3003751
3754,کسخل,offensive_general,o,3003754
3761,بدم میاد ازت,offensive_general,o o o,3003761
3763,بی شرف,offensive_general,o o,3003763
3764,خیلی خری,offensive_general,o o,3003764
3768,گوز,offensive_general,o,3003768
3771,کثافت,offensive_general,o,3003771
3772,خر,offensive_general,o,3003772
3775,خایمال,offensive_general,o,3003775
3781,بگا رفتی,offensive_general,o o,3003781
3784,میگوزی,offensive_general,o,3003784
3789,کونی,offensive_general,o,3003789
3794,مزدور,offensive_general,o,3003794
3796,تف تو قمبلت ,offensive_general,o o o,3003796
3797,خری,offensive_general,o,3003797
3800,زالو,offensive_general,o,3003800
3807,اره جون عمت,offensive_general,o o o,3003807
3822,حرف مفت نزن,offensive_general,o o o,3003822
3823,بی دست و پا,offensive_general,o o o o,3003823
3832,جنده,offensive_general,o,3003832
3839,کصلیس,offensive_general,o,3003839
3846,دزد,offensive_general,o,3003846
3850,ریدی,offensive_general,o,3003850
3851,عن,offensive_general,o,3003851
3852,اسگل,offensive_general,o,3003852
3854,اسهال طلب,offensive_general,o o,3003854
3862,گاییدمت,offensive_general,o,3003862
3867,کونی‌ای,offensive_general,o,3003867
3870,گاو,offensive_general,o,3003870
3871,بزغاله,offensive_general,o,3003871
3873,کره خر,offensive_general,o o,3003873
3874,به کیرم,offensive_general,o o,3003874
3876,بی عرضه,offensive_general,o o,3003876
3877,الدنگ,offensive_general,o,3003877
3889,بگا رفتی,offensive_general,o o,3003889
3900,کیرم دهنت,offensive_general,o o,3003900
3932,فاسد,offensive_general,o,3003932
3933,بی عرضه,offensive_general,o o,3003933
3934,جاکشی,offensive_general,o,3003934
3937,گوزو,offensive_general,o,3003937
3954,بزن بزن محکم بزن تو سرت ،خاک تو سرت,offensive_general,o o o o o o o o o,3003954
3955,ابله,offensive_general,o,3003955
3965,سگ,offensive_general,o,3003965
3974,ابله,offensive_general,o,3003974
3978,خجالت بکش,offensive_general,o o,3003978
3979,خفه شو کثافت لجن,offensive_general,o o o o,3003979
3985,جنده‌ای,offensive_general,o,3003985
3986,پدرسوخته,offensive_general,o,3003986
4007,نادان,offensive_general,o,3004007
4010,پدرتو درمیارم,offensive_general,o o,3004010
4014,چشمت کور,offensive_general,o o,3004014
4027,بی پدر,offensive_general,o o,3004027
4030,خایه مال,offensive_general,o o,3004030
4037,تف به ذاتت,offensive_general,o o o,3004037
4041,وات د فاک,offensive_general,o o o,3004041
4047,جاکش,offensive_general,o,3004047
4066,ابله,offensive_general,o,3004066
4071,فاک یو,offensive_general,o o,3004071
4072,کیر توت,offensive_general,o o,3004072
4076,خری,offensive_general,o,3004076
4077,بي ناموس مردم اگه گيرت بيارن تنها خاهرتو ميگاين,offensive_general,o o o o o o o o o,3004077
4089,نگاییدمت,offensive_general,o,3004089
4092,جنده خانوم,offensive_general,o o,3004092
4095,خاک تو سرت,offensive_general,o o o,3004095
4097,بیشرف,offensive_general,o,3004097
4102,ریدی,offensive_general,o,3004102
4103,احمق,offensive_general,o,3004103
4110,دیوث,offensive_general,o,3004110
4122,بیناموس,offensive_general,o,3004122
4125,برو بمیر,offensive_general,o o,3004125
4128,بیشرف,offensive_general,o,3004128
4138,فاک,offensive_general,o,3004138
4140,بمیر,offensive_general,o,3004140
4142,صدات کیریه,offensive_general,o o,3004142
4143,غربتی,offensive_general,o,3004143
4144,بفاک رفتی,offensive_general,o o,3004144
4149,خیلی خزی,offensive_general,o o,3004149
4151,پفیوز,offensive_general,o,3004151
4153,تاپاله,offensive_general,o,3004153
4157,پدرسگ,offensive_general,o,3004157
4158,کسخل,offensive_general,o,3004158
4162,خدا لعنتت کنه,offensive_general,o o o,3004162
4169,چاقال,offensive_general,o,3004169
4180,کیری هستی,offensive_general,o o,3004180
4181,احمق,offensive_general,o,3004181
4182,گاو,offensive_general,o,3004182
4184,روغن بنفشه تو کونت,offensive_general,o o o o,3004184
4186,حرومزاده,offensive_general,o,3004186
4188,دیوس,offensive_general,o,3004188
4194,کون لقت,offensive_general,o o,3004194
4195,سیکتیر کن,offensive_general,o o,3004195
4197,بیشرف,offensive_general,o,3004197
4201,دهنت سرویس,offensive_general,o o,3004201
4204,عن شدی,offensive_general,o o,3004204
4207,خفه شو,offensive_general,o o,3004207
4216,ریدی,offensive_general,o,3004216
4217,مادر جنده,offensive_general,o o,3004217
4221,تخمی,offensive_general,o,3004221
4222,دیوث,offensive_general,o,3004222
4255,کسکش,offensive_general,o,3004255
4270,جاکش,offensive_general,o,3004270
4290,انتر,offensive_general,o,3004290
4306,کثیف,offensive_general,o,3004306
4332,کچل,offensive_general,o,3004332
4334,خفه شدی,offensive_general,o o,3004334
4336,کیرم دهنت,offensive_general,o o,3004336
4354,کثافت,offensive_general,o,3004354
4365,کونی مابهت جرمیخوری کونی,offensive_general,o o o o,3004365
4380,حروم زاده,offensive_general,o o,3004380
4391,لعنتی,offensive_general,o,3004391
4392,شاشو,offensive_general,o,3004392
4396,کیری ,offensive_general,o,3004396
4397,کیرم تو کص مادرت,offensive_general,o o o o,3004397
4401,کیری,offensive_general,o,3004401
4413,بیشرف,offensive_general,o,3004413
4416,بدبخت ,offensive_general,o,3004416
4431,بی‌ناموس,offensive_general,o,3004431
4438,خایه مال,offensive_general,o o,3004438
4446,اشغال,offensive_general,o,3004446
4458,خاک تو سرت,offensive_general,o o o,3004458
4468,تو دیگه چه خری هستی,offensive_general,o o o o o,3004468
4484,تخمی,offensive_general,o,3004484
4486,زشت,offensive_general,o,3004486
4488,انگل ,offensive_general,o,3004488
4493,جاکش,offensive_general,o,3004493
4513,جاکش,offensive_general,o,3004513
4516,تخمی,offensive_general,o,3004516
4527,خر,offensive_general,o,3004527
4530,کیرم توت,offensive_general,o o,3004530
4535,بیناموس,offensive_general,o,3004535
4536,سگ تو روحت,offensive_general,o o o,3004536
4545,تخم حروم,offensive_general,o o,3004545
4558,کوسخول,offensive_general,o,3004558
4562,دهنتو گاییدم,offensive_general,o o,3004562
4563,عن,offensive_general,o,3004563
4567,جاکش,offensive_general,o,3004567
4572,برو به جهنم,offensive_general,o o o,3004572
4575,کسکش,offensive_general,o,3004575
4576,بندازمت پيش عقرب و مار,offensive_general,o o o o o,3004576
4577,چقدر حروم زاده ای ,offensive_general,o o o o,3004577
4579,چقدر خودتو داري جر ميدي 😂😂😂,offensive_general,o o o o o o,3004579
4580,ریدم پس کله ت,offensive_general,o o o o,3004580
4581,اسکلللل😂,offensive_general,o,3004581
4582,از سری بعد خلاصه میگی کونی 😂😂😂,offensive_general,o o o o o o o,3004582
4583,اووووف دگه چه حالی بده,offensive_general,o o o o o,3004583
4584,اینقدر حرف زدی ریدی تو حالم,offensive_general,o o o o o o,3004584
4585,داری ماله می‌کشی ,offensive_general,o o o,3004585
4586,عای شت بیخیال پس😂😂,offensive_general,o o o o,3004586
4587,خرفت شدی ,offensive_general,o o,3004587
4588,بی‌پدر,offensive_general,o,3004588
4589,چه غروب کیری و دلگیری,offensive_general,o o o o o,3004589
4590,برو احمق,offensive_general,o o,3004590
4591,میخوای خودتو یه جنده‌ی تنگ معرفی کنی ,offensive_general,o o o o o o o,3004591
4592,کونی,offensive_general,o,3004592
4593,اره جون عمت منم جواب دادم,offensive_general,o o o o o o,3004593
4594,برو بابا دروغگو,offensive_general,o o o,3004594
4595,خیلی مزخرفی,offensive_general,o o,3004595
4596,پس گردني می‌خواهی,offensive_general,o o o,3004596
4597,خودفروش,offensive_general,o,3004597
4598,خفه شو بي عرضه مرتيكه نفهم,offensive_general,o o o o o o,3004598
4601,نفهم,offensive_general,o,3004601
4602,خفه شو,offensive_general,o o,3004602
4603,تو خفه,offensive_general,o o,3004603
4604,کيـرم تو کـس مادر ادمين,offensive_general,o o o o o,3004604
4606,افغانی دیگه چی بگم,offensive_general,o o o o,3004606
4607,منم بچگیم کیری بود -_- کیر توش,offensive_general,o o o o o o o,3004607
4608,لاس بال ماس بازی میکنن,offensive_general,o o o o o,3004608
4609,ممه میبینم تو اواتار!!!,offensive_general,o o o o,3004609
4610,اين دنيا، ننه بابا نداره؟ بچه اش هم مثل خودش بي صاحب ميشه,offensive_general,o o o o o o o o o o o o o,3004610
4611,بلدی برینی به اين لاشي ها,offensive_general,o o o o o o,3004611
4612,به درک,offensive_general,o o,3004612
4613,هيچ غلتي نمي توانی بکنی,offensive_general,o o o o o,3004613
4614,آخه بیشرف تو مگه کار و زندگی نداری,offensive_general,o o o o o o o o,3004614
4615,دیوث,offensive_general,o,3004615
4616,خیلی تخمي هستی,offensive_general,o o o,3004616
4617,حيف به مقام بياري آخه بيچاره پس کي مملکتو‌ چپاول کنه,offensive_general,o o o o o o o o o o o,3004617
4618,چه کون سفیدی داری جناب گواردیولا,offensive_general,o o o o o o,3004618
4619,ازگل,offensive_general,o,3004619
4620,کصکش حرام زاده,offensive_general,o o o,3004620
4622,کسکش,offensive_general,o,3004622
4624,کیری,offensive_general,o,3004624
4626,نجس,offensive_general,o,3004626
4640,کوسکش,offensive_general,o,3004640
4647,احمق,offensive_general,o,3004647
4650,کیر,offensive_general,o,3004650
4658,پفیوز,offensive_general,o,3004658
4660,دزد,offensive_general,o,3004660
4662,الاغ,offensive_general,o,3004662
4663,خاک تو سرت,offensive_general,o o o,3004663
4667,ریدم,offensive_general,o,3004667
4670,جنده,offensive_general,o,3004670
4675,کیر,offensive_general,o,3004675
4679,فاک,offensive_general,o,3004679
4684,زن جنده,offensive_general,o o,3004684
4685,پفیوز,offensive_general,o,3004685
4715,کون,offensive_general,o,3004715
4718,اشغال,offensive_general,o,3004718
4720,خر ,offensive_general,o,3004720
4724,اسکل,offensive_general,o,3004724
4726,مرتیکه ,offensive_general,o,3004726
4728,کیری,offensive_general,o,3004728
4730,پشمام,offensive_general,o,3004730
4731,کصلیس,offensive_general,o,3004731
4734,اسکل,offensive_general,o,3004734
4735,برو گمشو,offensive_general,o o,3004735
4741,کصکش,offensive_general,o,3004741
4744,به کیرم,offensive_general,o o,3004744
4745,کون,offensive_general,o,3004745
4753,عنتر ,offensive_general,o,3004753
4757,گوه ,offensive_general,o,3004757
4767,دیوس,offensive_general,o,3004767
4782,کیر,offensive_general,o,3004782
4787,پیرسگ,offensive_general,o,3004787
4788,گاییدمش,offensive_general,o,3004788
4794,کیرم,offensive_general,o,3004794
4801,جنده,offensive_general,o,3004801
4802,کیری,offensive_general,o,3004802
4806,ديوث,offensive_general,o,3004806
4810,دهنتو ببند,offensive_general,o o,3004810
4812,کون کش,offensive_general,o o,3004812
4818,خاک بر سرتون,offensive_general,o o o,3004818
4821,ریدم,offensive_general,o,3004821
4822,به تو چه,offensive_general,o o o,3004822
4825,جنده,offensive_general,o,3004825
4828,کیر تو دهنت,offensive_general,o o o,3004828
4830,خاک تو سرت,offensive_general,o o o,3004830
4834,آشغال,offensive_general,o,3004834
4843,ریدم,offensive_general,o,3004843
4848,بیناموس,offensive_general,o,3004848
4849,وطن فروش,offensive_general,o o,3004849
4850,مادر جنده,offensive_general,o o,3004850
4858,ریدم,offensive_general,o,3004858
4859,ریدم تو روحت,offensive_general,o o o,3004859
4861,گه,offensive_general,o,3004861
4862,گوزو,offensive_general,o,3004862
4864,احمق,offensive_general,o,3004864
4866,جاکش,offensive_general,o,3004866
4872,گاییدی,offensive_general,o,3004872
4873,کیر,offensive_general,o,3004873
4874,دهنتو ببند,offensive_general,o o,3004874
4875,بدبخت,offensive_general,o,3004875
4879, احمق,offensive_general,o,3004879
